,Avg Reward,Max,Reward
0,,-43.0,-43.0
1,-43.0,-43.0,-49.0
2,-46.0,-43.0,-44.0
3,-45.333333333333336,-31.0,-31.0
4,-41.75,-13.0,-13.0
5,-36.0,-13.0,-42.0
6,-37.0,-13.0,-15.0
7,-33.857142857142854,-13.0,-48.0
8,-35.625,-13.0,-25.0
9,-34.44444444444444,3.0,3.0
10,-30.7,3.0,-40.0
11,-31.545454545454547,3.0,-48.0
12,-32.916666666666664,3.0,-33.0
13,-32.92307692307692,3.0,-1.0
14,-30.642857142857142,3.0,-40.0
15,-31.266666666666666,3.0,-2.0
16,-29.4375,3.0,-28.0
17,-29.352941176470587,3.0,-35.0
18,-29.666666666666668,3.0,-22.0
19,-29.263157894736842,3.0,-39.0
20,-29.75,3.0,-47.0
21,-30.571428571428573,3.0,-32.0
22,-30.636363636363637,3.0,-43.0
23,-31.17391304347826,3.0,-35.0
24,-31.333333333333332,3.0,-26.0
25,-31.12,3.0,-46.0
26,-31.692307692307693,3.0,-34.0
27,-31.77777777777778,3.0,-46.0
28,-32.285714285714285,3.0,-28.0
29,-32.13793103448276,3.0,-24.0
30,-31.866666666666667,3.0,-28.0
31,-31.741935483870968,3.0,-45.0
32,-32.15625,3.0,-24.0
33,-31.90909090909091,3.0,-27.0
34,-31.764705882352942,3.0,-35.0
35,-31.857142857142858,3.0,-43.0
36,-32.166666666666664,3.0,-49.0
37,-32.62162162162162,3.0,-33.0
38,-32.63157894736842,19.0,19.0
39,-31.307692307692307,19.0,-35.0
40,-31.4,19.0,-36.0
41,-31.51219512195122,19.0,-42.0
42,-31.761904761904763,19.0,-44.0
43,-32.04651162790697,19.0,-1.0
44,-31.34090909090909,19.0,-45.0
45,-31.644444444444446,19.0,-43.0
46,-31.891304347826086,19.0,-16.0
47,-31.5531914893617,19.0,-41.0
48,-31.75,19.0,-1.0
49,-31.122448979591837,19.0,-40.0
50,-31.3,19.0,-18.0
51,-31.03921568627451,19.0,-33.0
52,-31.076923076923077,19.0,-31.0
53,-31.07547169811321,19.0,-42.0
54,-31.27777777777778,19.0,-35.0
55,-31.345454545454544,19.0,-47.0
56,-31.625,19.0,-42.0
57,-31.80701754385965,19.0,-48.0
58,-32.08620689655172,19.0,-39.0
59,-32.20338983050848,19.0,-45.0
60,-32.416666666666664,19.0,-40.0
61,-32.540983606557376,19.0,-27.0
62,-32.45161290322581,19.0,-46.0
63,-32.666666666666664,19.0,-42.0
64,-32.8125,19.0,-9.0
65,-32.44615384615385,26.0,26.0
66,-31.560606060606062,26.0,-47.0
67,-31.791044776119403,26.0,-48.0
68,-32.029411764705884,26.0,-6.0
69,-31.652173913043477,26.0,-31.0
70,-31.642857142857142,26.0,-39.0
71,-31.746478873239436,26.0,-37.0
72,-31.819444444444443,26.0,-48.0
73,-32.04109589041096,26.0,-45.0
74,-32.21621621621622,26.0,-35.0
75,-32.25333333333333,26.0,-38.0
76,-32.328947368421055,26.0,-39.0
77,-32.41558441558441,26.0,-26.0
78,-32.333333333333336,26.0,-45.0
79,-32.49367088607595,26.0,-32.0
80,-32.4875,26.0,-18.0
81,-32.30864197530864,26.0,-39.0
82,-32.390243902439025,26.0,-49.0
83,-32.59036144578313,26.0,-33.0
84,-32.595238095238095,26.0,-37.0
85,-32.64705882352941,26.0,-27.0
86,-32.58139534883721,26.0,-45.0
87,-32.724137931034484,26.0,-49.0
88,-32.90909090909091,26.0,-47.0
89,-33.06741573033708,26.0,0.0
90,-32.7,26.0,-37.0
91,-32.747252747252745,26.0,-4.0
92,-32.43478260869565,39.0,39.0
93,-31.666666666666668,39.0,-43.0
94,-31.78723404255319,39.0,-48.0
95,-31.957894736842107,39.0,-39.0
96,-32.03125,39.0,-44.0
97,-32.154639175257735,39.0,-24.0
98,-32.07142857142857,39.0,-23.0
99,-31.97979797979798,39.0,-33.0
100,-31.99,39.0,-44.0
101,-32.0,39.0,-34.0
102,-31.85,39.0,-46.0
103,-31.87,39.0,13.0
104,-31.43,39.0,-40.0
105,-31.7,39.0,-8.0
106,-31.36,39.0,-32.0
107,-31.53,39.0,-23.0
108,-31.28,39.0,-30.0
109,-31.33,39.0,-42.0
110,-31.78,39.0,-6.0
111,-31.44,39.0,-43.0
112,-31.39,39.0,10.0
113,-30.96,39.0,-29.0
114,-31.24,39.0,38.0
115,-30.46,39.0,-38.0
116,-30.82,39.0,-45.0
117,-30.99,39.0,-40.0
118,-31.04,39.0,-33.0
119,-31.15,39.0,-42.0
120,-31.18,39.0,-36.0
121,-31.07,39.0,-49.0
122,-31.24,39.0,26.0
